,satisfaction
1316,neutral or dissatisfied
1317,neutral or dissatisfied
1318,neutral or dissatisfied
1319,neutral or dissatisfied
1320,satisfied
1321,satisfied
1322,neutral or dissatisfied
1323,neutral or dissatisfied
1324,neutral or dissatisfied
1325,neutral or dissatisfied
1326,satisfied
1327,neutral or dissatisfied
1328,neutral or dissatisfied
1329,satisfied
1330,neutral or dissatisfied
1331,neutral or dissatisfied
1332,neutral or dissatisfied
1333,neutral or dissatisfied
1334,neutral or dissatisfied
1335,satisfied
1336,neutral or dissatisfied
1337,satisfied
1338,neutral or dissatisfied
1339,neutral or dissatisfied
1340,neutral or dissatisfied
1341,satisfied
1342,neutral or dissatisfied
1343,neutral or dissatisfied
1344,satisfied
1345,neutral or dissatisfied
1346,neutral or dissatisfied
1347,satisfied
1348,satisfied
1349,satisfied
1350,neutral or dissatisfied
1351,neutral or dissatisfied
1352,neutral or dissatisfied
1353,neutral or dissatisfied
1354,satisfied
1355,satisfied
1356,satisfied
1357,neutral or dissatisfied
1358,neutral or dissatisfied
1359,neutral or dissatisfied
1360,neutral or dissatisfied
1361,neutral or dissatisfied
1362,neutral or dissatisfied
1363,neutral or dissatisfied
1364,satisfied
1365,neutral or dissatisfied
1366,neutral or dissatisfied
1367,neutral or dissatisfied
1368,satisfied
1369,satisfied
1370,neutral or dissatisfied
1371,neutral or dissatisfied
1372,satisfied
1373,satisfied
1374,satisfied
1375,satisfied
1376,neutral or dissatisfied
1377,neutral or dissatisfied
1378,satisfied
1379,neutral or dissatisfied
1380,neutral or dissatisfied
1381,neutral or dissatisfied
1382,satisfied
1383,neutral or dissatisfied
1384,neutral or dissatisfied
1385,neutral or dissatisfied
1386,satisfied
1387,satisfied
1388,neutral or dissatisfied
1389,neutral or dissatisfied
1390,neutral or dissatisfied
1391,satisfied
1392,neutral or dissatisfied
1393,satisfied
1394,satisfied
1395,neutral or dissatisfied
1396,neutral or dissatisfied
1397,satisfied
1398,neutral or dissatisfied
1399,satisfied
1400,neutral or dissatisfied
1401,neutral or dissatisfied
1402,neutral or dissatisfied
1403,neutral or dissatisfied
1404,neutral or dissatisfied
1405,satisfied
1406,neutral or dissatisfied
1407,satisfied
1408,neutral or dissatisfied
1409,satisfied
1410,satisfied
1411,neutral or dissatisfied
1412,neutral or dissatisfied
1413,neutral or dissatisfied
1414,neutral or dissatisfied
1415,satisfied
1416,neutral or dissatisfied
1417,satisfied
1418,satisfied
1419,satisfied
1420,satisfied
1421,neutral or dissatisfied
1422,satisfied
1423,satisfied
1424,neutral or dissatisfied
1425,neutral or dissatisfied
1426,neutral or dissatisfied
1427,neutral or dissatisfied
1428,satisfied
1429,satisfied
1430,satisfied
1431,satisfied
1432,satisfied
1433,satisfied
1434,neutral or dissatisfied
1435,satisfied
1436,neutral or dissatisfied
1437,satisfied
1438,neutral or dissatisfied
1439,satisfied
1440,satisfied
1441,neutral or dissatisfied
1442,neutral or dissatisfied
1443,satisfied
1444,satisfied
1445,neutral or dissatisfied
1446,neutral or dissatisfied
1447,neutral or dissatisfied
1448,neutral or dissatisfied
1449,satisfied
1450,neutral or dissatisfied
1451,neutral or dissatisfied
1452,neutral or dissatisfied
1453,neutral or dissatisfied
1454,satisfied
1455,neutral or dissatisfied
1456,neutral or dissatisfied
1457,satisfied
1458,neutral or dissatisfied
1459,satisfied
1460,neutral or dissatisfied
1461,neutral or dissatisfied
1462,satisfied
1463,neutral or dissatisfied
1464,neutral or dissatisfied
1465,satisfied
1466,neutral or dissatisfied
1467,neutral or dissatisfied
1468,neutral or dissatisfied
1469,neutral or dissatisfied
1470,satisfied
1471,satisfied
1472,neutral or dissatisfied
1473,satisfied
1474,satisfied
1475,neutral or dissatisfied
1476,satisfied
1477,satisfied
1478,satisfied
1479,neutral or dissatisfied
1480,neutral or dissatisfied
1481,satisfied
1482,neutral or dissatisfied
1483,neutral or dissatisfied
1484,satisfied
1485,satisfied
1486,neutral or dissatisfied
1487,neutral or dissatisfied
1488,satisfied
1489,neutral or dissatisfied
1490,neutral or dissatisfied
1491,neutral or dissatisfied
1492,satisfied
1493,neutral or dissatisfied
1494,neutral or dissatisfied
1495,neutral or dissatisfied
1496,satisfied
1497,neutral or dissatisfied
1498,neutral or dissatisfied
1499,satisfied
1500,satisfied
1501,satisfied
1502,satisfied
1503,neutral or dissatisfied
1504,neutral or dissatisfied
1505,satisfied
1506,satisfied
1507,neutral or dissatisfied
1508,neutral or dissatisfied
1509,neutral or dissatisfied
1510,neutral or dissatisfied
1511,satisfied
1512,neutral or dissatisfied
1513,neutral or dissatisfied
1514,satisfied
1515,neutral or dissatisfied
1516,satisfied
1517,neutral or dissatisfied
1518,neutral or dissatisfied
1519,neutral or dissatisfied
1520,satisfied
1521,satisfied
1522,satisfied
1523,neutral or dissatisfied
1524,neutral or dissatisfied
1525,satisfied
1526,satisfied
1527,satisfied
1528,neutral or dissatisfied
1529,neutral or dissatisfied
1530,satisfied
1531,neutral or dissatisfied
1532,neutral or dissatisfied
1533,neutral or dissatisfied
1534,neutral or dissatisfied
1535,satisfied
1536,neutral or dissatisfied
1537,neutral or dissatisfied
1538,neutral or dissatisfied
1539,satisfied
1540,neutral or dissatisfied
1541,neutral or dissatisfied
1542,neutral or dissatisfied
1543,neutral or dissatisfied
1544,neutral or dissatisfied
1545,neutral or dissatisfied
1546,satisfied
1547,satisfied
1548,satisfied
1549,satisfied
1550,neutral or dissatisfied
1551,satisfied
1552,neutral or dissatisfied
1553,neutral or dissatisfied
1554,satisfied
1555,neutral or dissatisfied
1556,neutral or dissatisfied
1557,neutral or dissatisfied
1558,neutral or dissatisfied
1559,satisfied
1560,neutral or dissatisfied
1561,neutral or dissatisfied
1562,satisfied
1563,neutral or dissatisfied
1564,neutral or dissatisfied
1565,satisfied
1566,neutral or dissatisfied
1567,neutral or dissatisfied
1568,satisfied
1569,neutral or dissatisfied
1570,neutral or dissatisfied
1571,neutral or dissatisfied
1572,satisfied
1573,neutral or dissatisfied
1574,neutral or dissatisfied
1575,satisfied
1576,satisfied
1577,satisfied
1578,neutral or dissatisfied
1579,neutral or dissatisfied
1580,satisfied
1581,satisfied
1582,neutral or dissatisfied
1583,satisfied
1584,neutral or dissatisfied
1585,neutral or dissatisfied
1586,satisfied
1587,satisfied
1588,neutral or dissatisfied
1589,satisfied
1590,satisfied
1591,neutral or dissatisfied
1592,neutral or dissatisfied
1593,neutral or dissatisfied
1594,satisfied
1595,neutral or dissatisfied
1596,neutral or dissatisfied
1597,satisfied
1598,satisfied
1599,neutral or dissatisfied
1600,neutral or dissatisfied
1601,satisfied
1602,satisfied
1603,neutral or dissatisfied
1604,satisfied
1605,neutral or dissatisfied
1606,neutral or dissatisfied
1607,neutral or dissatisfied
1608,neutral or dissatisfied
1609,satisfied
1610,neutral or dissatisfied
1611,neutral or dissatisfied
1612,neutral or dissatisfied
1613,satisfied
1614,satisfied
1615,neutral or dissatisfied
1616,satisfied
1617,satisfied
1618,satisfied
1619,satisfied
1620,satisfied
1621,satisfied
1622,neutral or dissatisfied
1623,satisfied
1624,satisfied
1625,satisfied
1626,neutral or dissatisfied
1627,neutral or dissatisfied
1628,neutral or dissatisfied
1629,satisfied
1630,neutral or dissatisfied
1631,satisfied
1632,neutral or dissatisfied
1633,satisfied
1634,neutral or dissatisfied
1635,satisfied
1636,satisfied
1637,neutral or dissatisfied
1638,satisfied
1639,neutral or dissatisfied
1640,neutral or dissatisfied
1641,neutral or dissatisfied
1642,satisfied
1643,satisfied
1644,satisfied
1645,neutral or dissatisfied
1646,neutral or dissatisfied
1647,neutral or dissatisfied
1648,neutral or dissatisfied
1649,neutral or dissatisfied
1650,neutral or dissatisfied
1651,satisfied
1652,neutral or dissatisfied
1653,neutral or dissatisfied
1654,satisfied
1655,satisfied
1656,satisfied
1657,satisfied
1658,neutral or dissatisfied
1659,satisfied
1660,neutral or dissatisfied
1661,satisfied
1662,neutral or dissatisfied
1663,satisfied
1664,satisfied
1665,neutral or dissatisfied
1666,neutral or dissatisfied
1667,satisfied
1668,satisfied
1669,satisfied
1670,neutral or dissatisfied
1671,neutral or dissatisfied
1672,satisfied
1673,neutral or dissatisfied
1674,neutral or dissatisfied
1675,satisfied
1676,neutral or dissatisfied
1677,satisfied
1678,satisfied
1679,satisfied
1680,satisfied
1681,satisfied
1682,neutral or dissatisfied
1683,satisfied
1684,neutral or dissatisfied
1685,satisfied
1686,neutral or dissatisfied
1687,satisfied
1688,satisfied
1689,neutral or dissatisfied
1690,neutral or dissatisfied
1691,neutral or dissatisfied
1692,neutral or dissatisfied
1693,satisfied
1694,neutral or dissatisfied
1695,neutral or dissatisfied
1696,neutral or dissatisfied
1697,satisfied
1698,neutral or dissatisfied
1699,neutral or dissatisfied
1700,satisfied
1701,neutral or dissatisfied
1702,satisfied
1703,satisfied
1704,satisfied
1705,satisfied
1706,satisfied
1707,neutral or dissatisfied
1708,satisfied
1709,neutral or dissatisfied
1710,satisfied
1711,neutral or dissatisfied
1712,neutral or dissatisfied
1713,neutral or dissatisfied
1714,satisfied
1715,satisfied
1716,neutral or dissatisfied
1717,neutral or dissatisfied
1718,neutral or dissatisfied
1719,neutral or dissatisfied
1720,satisfied
1721,satisfied
1722,satisfied
1723,neutral or dissatisfied
1724,satisfied
1725,satisfied
1726,satisfied
1727,satisfied
1728,satisfied
1729,neutral or dissatisfied
1730,neutral or dissatisfied
1731,satisfied
1732,satisfied
1733,satisfied
1734,satisfied
1735,satisfied
1736,satisfied
1737,satisfied
1738,satisfied
1739,neutral or dissatisfied
1740,satisfied
1741,neutral or dissatisfied
1742,neutral or dissatisfied
1743,satisfied
1744,satisfied
1745,neutral or dissatisfied
1746,neutral or dissatisfied
1747,neutral or dissatisfied
1748,neutral or dissatisfied
1749,neutral or dissatisfied
1750,neutral or dissatisfied
1751,neutral or dissatisfied
1752,neutral or dissatisfied
1753,neutral or dissatisfied
1754,neutral or dissatisfied
1755,neutral or dissatisfied
1756,neutral or dissatisfied
1757,neutral or dissatisfied
1758,neutral or dissatisfied
1759,neutral or dissatisfied
1760,neutral or dissatisfied
1761,neutral or dissatisfied
1762,neutral or dissatisfied
1763,satisfied
1764,neutral or dissatisfied
1765,neutral or dissatisfied
1766,neutral or dissatisfied
1767,neutral or dissatisfied
1768,satisfied
1769,satisfied
1770,neutral or dissatisfied
1771,neutral or dissatisfied
1772,neutral or dissatisfied
1773,neutral or dissatisfied
1774,satisfied
1775,neutral or dissatisfied
1776,neutral or dissatisfied
1777,satisfied
1778,neutral or dissatisfied
1779,satisfied
1780,neutral or dissatisfied
1781,satisfied
1782,neutral or dissatisfied
1783,neutral or dissatisfied
1784,neutral or dissatisfied
1785,neutral or dissatisfied
1786,neutral or dissatisfied
1787,satisfied
1788,satisfied
1789,neutral or dissatisfied
1790,satisfied
1791,satisfied
1792,neutral or dissatisfied
1793,neutral or dissatisfied
1794,neutral or dissatisfied
1795,neutral or dissatisfied
1796,satisfied
1797,satisfied
1798,neutral or dissatisfied
1799,satisfied
1800,satisfied
1801,neutral or dissatisfied
1802,neutral or dissatisfied
1803,satisfied
1804,neutral or dissatisfied
1805,satisfied
1806,neutral or dissatisfied
1807,neutral or dissatisfied
1808,satisfied
1809,neutral or dissatisfied
1810,neutral or dissatisfied
1811,neutral or dissatisfied
1812,satisfied
1813,neutral or dissatisfied
1814,neutral or dissatisfied
1815,satisfied
1816,satisfied
1817,neutral or dissatisfied
1818,neutral or dissatisfied
1819,neutral or dissatisfied
1820,satisfied
1821,neutral or dissatisfied
1822,satisfied
1823,satisfied
1824,neutral or dissatisfied
1825,neutral or dissatisfied
1826,neutral or dissatisfied
1827,satisfied
1828,neutral or dissatisfied
1829,satisfied
1830,neutral or dissatisfied
1831,satisfied
1832,neutral or dissatisfied
1833,satisfied
1834,neutral or dissatisfied
1835,neutral or dissatisfied
1836,neutral or dissatisfied
1837,neutral or dissatisfied
1838,neutral or dissatisfied
1839,satisfied
1840,satisfied
1841,satisfied
1842,satisfied
1843,satisfied
1844,satisfied
1845,neutral or dissatisfied
1846,satisfied
1847,neutral or dissatisfied
1848,neutral or dissatisfied
1849,neutral or dissatisfied
1850,satisfied
1851,satisfied
1852,satisfied
1853,neutral or dissatisfied
1854,neutral or dissatisfied
1855,satisfied
1856,neutral or dissatisfied
1857,neutral or dissatisfied
1858,neutral or dissatisfied
1859,satisfied
1860,neutral or dissatisfied
1861,satisfied
1862,neutral or dissatisfied
1863,satisfied
1864,neutral or dissatisfied
1865,neutral or dissatisfied
1866,neutral or dissatisfied
1867,satisfied
1868,satisfied
1869,neutral or dissatisfied
1870,neutral or dissatisfied
1871,satisfied
1872,satisfied
1873,neutral or dissatisfied
1874,neutral or dissatisfied
1875,neutral or dissatisfied
1876,neutral or dissatisfied
1877,satisfied
1878,neutral or dissatisfied
1879,neutral or dissatisfied
1880,satisfied
1881,satisfied
1882,neutral or dissatisfied
1883,neutral or dissatisfied
1884,neutral or dissatisfied
1885,neutral or dissatisfied
1886,neutral or dissatisfied
1887,satisfied
1888,neutral or dissatisfied
1889,satisfied
1890,satisfied
1891,neutral or dissatisfied
1892,neutral or dissatisfied
1893,satisfied
1894,satisfied
1895,satisfied
1896,neutral or dissatisfied
1897,neutral or dissatisfied
1898,satisfied
1899,satisfied
1900,satisfied
1901,neutral or dissatisfied
1902,neutral or dissatisfied
1903,satisfied
1904,neutral or dissatisfied
1905,satisfied
1906,satisfied
1907,neutral or dissatisfied
1908,neutral or dissatisfied
1909,neutral or dissatisfied
1910,satisfied
1911,satisfied
1912,satisfied
1913,satisfied
1914,neutral or dissatisfied
1915,neutral or dissatisfied
1916,neutral or dissatisfied
1917,neutral or dissatisfied
1918,neutral or dissatisfied
1919,satisfied
1920,neutral or dissatisfied
1921,satisfied
1922,neutral or dissatisfied
1923,satisfied
1924,neutral or dissatisfied
1925,neutral or dissatisfied
1926,satisfied
1927,satisfied
1928,satisfied
1929,neutral or dissatisfied
1930,neutral or dissatisfied
1931,satisfied
1932,neutral or dissatisfied
1933,neutral or dissatisfied
1934,satisfied
1935,neutral or dissatisfied
1936,neutral or dissatisfied
1937,satisfied
1938,satisfied
1939,neutral or dissatisfied
1940,neutral or dissatisfied
1941,satisfied
1942,satisfied
1943,neutral or dissatisfied
1944,neutral or dissatisfied
1945,neutral or dissatisfied
1946,neutral or dissatisfied
1947,satisfied
1948,satisfied
1949,satisfied
1950,satisfied
1951,neutral or dissatisfied
1952,satisfied
1953,satisfied
1954,satisfied
1955,neutral or dissatisfied
1956,neutral or dissatisfied
1957,satisfied
1958,neutral or dissatisfied
1959,neutral or dissatisfied
1960,neutral or dissatisfied
1961,satisfied
1962,neutral or dissatisfied
1963,satisfied
1964,neutral or dissatisfied
1965,neutral or dissatisfied
1966,neutral or dissatisfied
1967,satisfied
1968,neutral or dissatisfied
1969,neutral or dissatisfied
1970,neutral or dissatisfied
1971,satisfied
1972,neutral or dissatisfied
1973,neutral or dissatisfied
1974,neutral or dissatisfied
1975,neutral or dissatisfied
1976,neutral or dissatisfied
1977,neutral or dissatisfied
1978,neutral or dissatisfied
1979,neutral or dissatisfied
1980,neutral or dissatisfied
1981,satisfied
1982,satisfied
1983,neutral or dissatisfied
1984,neutral or dissatisfied
1985,neutral or dissatisfied
1986,satisfied
1987,satisfied
1988,satisfied
1989,neutral or dissatisfied
1990,neutral or dissatisfied
1991,satisfied
1992,neutral or dissatisfied
1993,neutral or dissatisfied
1994,neutral or dissatisfied
1995,satisfied
1996,neutral or dissatisfied
1997,neutral or dissatisfied
1998,satisfied
1999,neutral or dissatisfied
2000,satisfied
2001,satisfied
2002,neutral or dissatisfied
2003,satisfied
2004,neutral or dissatisfied
2005,neutral or dissatisfied
2006,satisfied
2007,satisfied
2008,satisfied
2009,neutral or dissatisfied
